Id,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,GarageArea,NbChildren,SalePrice
67,1970,1989,1035,1947,2207,0,3,1,2,0,7,2,576,0,180000
68,2003,2003,440,1453,1479,0,3,1,2,0,7,2,558,1,226000
69,1945,1950,747,747,747,0,2,1,1,0,4,1,220,5,80000
70,1953,1953,701,1304,1304,983,3,1,2,0,7,2,667,4,225000
71,1973,1973,343,2223,2223,0,3,1,2,0,8,2,516,0,244000
72,1982,2006,280,845,845,0,2,1,1,0,4,2,360,1,129500
73,1998,1998,832,832,885,833,3,1,2,1,7,2,427,2,185000
74,1954,2003,404,1086,1086,0,3,1,1,0,6,2,490,5,144900
75,1915,1950,840,840,840,765,3,2,2,0,8,1,379,6,107400
76,1973,1973,0,462,526,462,2,1,1,0,5,1,297,6,91000
77,1956,1956,724,952,952,0,2,1,1,0,4,1,283,4,135750
78,1948,2001,295,672,1072,213,2,1,1,0,6,1,240,6,127000
79,1968,1968,1768,1768,1768,0,4,2,2,0,8,0,0,5,136500
80,1910,1981,440,440,682,548,2,1,1,1,5,2,440,1,110000
81,1968,1968,448,896,1182,960,4,1,2,1,8,1,509,4,193500
82,1998,1998,36,1237,1337,0,2,1,2,0,5,2,405,0,153500
83,2007,2007,1530,1563,1563,0,3,1,2,0,6,3,758,2,245000
84,1960,1960,1065,1065,1065,0,3,1,1,1,6,2,461,6,126500
85,1995,1996,384,384,804,670,3,1,2,1,7,2,400,0,168500
86,1991,1992,1288,1288,1301,1116,4,1,2,1,9,2,462,0,260000
87,2005,2005,684,684,684,876,3,1,2,1,6,2,400,4,174000
88,2009,2009,612,612,612,612,2,1,2,1,4,2,528,4,164500
89,1915,1982,1013,1013,1013,0,2,1,1,0,6,0,0,1,85000
90,1994,1995,402,990,990,0,3,1,1,0,5,0,0,5,123600
91,1950,1950,0,0,1040,0,2,1,1,0,4,2,420,5,109900
92,1961,1961,635,1235,1235,0,2,1,1,0,6,2,480,1,98600
93,1921,2006,163,876,964,0,2,1,1,0,5,2,432,0,163500
94,1910,1998,168,1214,1260,1031,4,2,2,0,9,2,506,5,133900
95,1997,1997,176,824,905,881,3,1,2,1,7,2,684,0,204750
96,1993,1993,370,680,680,790,3,1,2,1,6,2,420,1,185000
97,1999,1999,426,1588,1588,0,3,1,2,0,6,2,472,0,214000
98,1965,1965,440,960,960,0,3,1,1,0,6,1,432,1,94750
99,1920,1950,350,458,835,0,2,1,1,0,5,1,366,0,83000
100,1959,1959,381,950,1225,0,3,1,1,1,6,0,0,6,1280950
101,1977,2001,410,1610,1610,0,3,1,2,0,6,2,480,1,205000
102,1985,1985,741,741,977,755,3,1,2,1,7,2,476,3,178000
103,1979,1979,0,0,1535,0,4,2,2,0,8,2,410,2,118964
104,2009,2009,1226,1226,1226,0,3,1,2,0,6,3,740,4,198900
105,1931,1950,816,1040,1226,592,4,1,1,1,7,1,240,1,169500
106,2003,2004,1053,1053,1053,939,3,1,2,1,9,2,648,2,250000
107,1885,1995,641,641,1047,0,2,1,1,0,6,1,273,1,100000
108,1948,1950,516,789,789,0,2,1,1,0,5,1,250,1,115000
109,1919,2005,793,793,997,520,3,1,2,0,7,0,0,3,115000
110,1977,1977,1139,1844,1844,0,3,1,2,0,7,2,546,5,190000
111,1954,1972,550,994,1216,639,4,1,2,0,7,1,325,0,136900
112,2000,2000,134,384,774,656,3,1,2,1,7,2,400,0,180000
113,2007,2007,280,1264,1282,1414,4,1,2,1,10,3,792,5,383970
114,1953,1953,905,1809,2259,0,3,1,2,0,7,2,450,2,217000
115,1945,2002,104,1028,1436,884,3,1,2,1,9,1,180,2,259500
116,1999,1999,310,729,729,729,2,1,2,1,5,2,440,1,176000
117,1962,1962,252,1092,1092,0,3,1,1,0,6,1,288,4,139000
118,2006,2007,1125,1125,1125,0,2,1,1,1,5,2,430,0,155000
119,1990,1990,203,1673,1699,1523,5,1,3,0,11,3,594,3,320000
120,2005,2006,728,728,728,728,3,1,2,1,8,2,390,6,163990
121,1969,1969,0,938,988,0,1,1,1,0,4,2,540,4,180000
122,1939,1950,732,732,772,351,3,1,1,0,4,1,264,5,100000
123,1958,1958,510,1080,1080,0,3,1,1,0,5,1,288,5,136000
124,1993,1993,899,1199,1199,0,2,1,2,0,5,2,530,1,153900
125,1979,1998,1362,1362,1586,0,3,1,2,0,7,2,435,4,181000
126,1935,1982,30,520,520,0,2,1,1,0,5,0,0,0,84500
127,1976,1976,958,1078,958,0,2,1,2,0,5,2,440,0,128000
128,1930,1950,556,672,840,0,3,1,1,0,5,0,0,6,87000
129,1966,1966,148,660,660,688,3,1,1,1,6,2,453,6,155000
130,1958,1991,413,1008,1053,0,3,1,1,1,6,2,750,6,150000
131,1966,1966,479,924,1216,941,4,1,2,1,8,2,487,4,226000
132,2000,2000,297,992,1022,1032,3,1,2,1,7,2,390,3,244000
133,1959,2002,658,1063,1327,0,3,1,1,0,7,2,624,5,150750
134,2001,2002,262,1267,1296,0,2,1,2,0,6,2,471,5,220000
135,1968,1993,891,1461,1721,0,3,1,2,1,7,2,440,4,1180000
136,1970,1970,1304,1304,1682,0,3,1,2,0,7,2,530,5,174000
137,1967,1967,519,1214,1214,0,3,1,2,0,5,1,318,5,143000
138,1988,1989,1907,1907,1959,0,5,2,3,0,9,3,766,0,171000
139,1999,2000,336,1004,1004,848,3,1,2,1,7,3,660,3,230000
140,1997,1997,107,928,928,836,3,1,2,1,7,2,470,4,231500
141,1971,1971,432,864,864,0,3,1,1,0,5,0,0,0,115000
142,2005,2005,434,1734,1734,0,3,1,2,0,7,2,660,0,260000
143,1952,1952,403,910,910,475,4,1,2,0,6,2,720,2,166000
144,1999,1999,811,1490,1501,0,3,1,2,0,6,2,577,6,204000
145,1963,1963,396,1728,1728,0,6,2,2,0,10,2,504,4,125000
146,2004,2006,970,970,970,739,3,1,2,0,7,2,380,2,130000
147,1931,1993,506,715,875,0,2,1,1,0,5,1,180,5,105000
148,2001,2001,884,884,884,1151,3,1,2,1,8,2,434,5,222500
149,2004,2005,400,1080,1080,0,3,1,1,0,6,0,0,4,141000
150,1936,1950,896,896,896,448,3,1,1,0,7,1,240,1,115000
151,1975,1975,253,969,969,0,3,1,1,1,5,2,440,4,122000
152,2007,2008,310,1710,1710,0,2,1,2,0,6,3,866,0,372402
153,1971,1971,409,825,1097,896,4,1,2,1,8,2,495,3,190000
154,1960,1975,93,1602,1252,0,1,1,1,0,4,2,564,0,235000
155,1923,1950,1200,1200,1200,0,4,1,1,0,7,1,312,0,125000
156,1924,1950,572,572,572,524,2,1,1,0,5,0,0,4,79000
157,1950,1950,0,0,1040,0,2,1,1,0,5,2,625,0,109500
158,2009,2010,774,774,774,1194,4,1,2,1,8,3,680,4,269500
159,2004,2005,769,991,991,956,3,1,2,1,8,2,678,0,254900
160,2005,2006,1335,1392,1392,1070,4,1,2,1,9,2,576,6,320000
161,1984,1984,572,1232,1232,0,3,1,2,0,6,2,516,1,162500
162,2003,2004,556,1572,1572,1096,3,1,2,1,10,3,726,5,412500
163,2005,2005,340,1541,1541,0,3,1,2,0,7,2,532,6,220000
164,1956,1956,882,882,882,0,1,1,1,0,4,0,0,5,103200
165,1926,2004,779,1149,1149,467,3,1,2,0,5,1,216,0,152000
166,1940,1999,112,644,808,547,4,2,2,0,6,0,0,1,127500
167,1955,1993,470,1617,1867,0,2,1,1,0,7,1,303,2,190000
168,2007,2007,294,1582,1610,551,3,1,1,1,8,3,789,1,325624
169,2004,2004,840,840,840,880,3,1,2,1,7,2,440,4,183500
170,1981,1981,1686,1686,1707,0,2,1,2,1,6,2,511,4,228000
171,1941,1950,360,720,854,0,2,1,1,1,7,2,660,5,128500
172,1960,1960,441,1080,1656,0,3,1,1,0,7,2,528,1,215000
173,1987,1987,354,1064,1064,703,2,1,2,0,5,2,504,0,239000
174,1961,1961,700,1362,1362,0,3,1,1,1,6,2,504,6,163000
175,1986,1986,0,1606,1651,0,3,1,2,0,7,2,616,2,184000
176,1950,2001,725,1202,2158,0,4,1,2,0,7,2,576,3,243000
177,1988,1989,320,1151,1164,896,4,1,2,1,8,2,521,5,211000
178,1958,1958,554,1052,1252,668,4,1,2,0,8,2,451,1,172500
179,2008,2009,312,2216,2234,0,1,1,2,0,9,3,1166,2,501837
180,1923,2006,968,968,968,0,2,1,1,0,5,2,480,0,100000
181,2000,2000,320,756,769,756,3,1,2,1,5,2,440,2,177000
182,1920,1950,441,793,901,901,4,1,1,1,9,1,216,1,200100
183,1957,2006,0,0,1340,0,3,1,1,0,7,1,252,6,120000
184,2003,2003,1362,1362,1362,720,3,1,2,1,6,2,484,5,200000
185,1908,1991,504,504,936,316,3,1,1,0,5,2,576,4,127000
186,1892,1993,1107,1107,1518,1518,4,1,2,1,12,3,840,4,475000
187,1990,1991,577,1188,1217,0,3,1,2,0,6,2,497,3,173000
188,1916,1987,660,660,808,704,3,1,2,1,8,1,180,3,135000
189,1979,1979,0,1086,1224,0,2,2,0,2,6,2,528,3,153337
190,2001,2002,440,1593,1593,0,0,1,1,1,5,2,682,0,286000
191,1932,1994,556,853,1549,1178,3,1,2,1,10,2,440,0,315000
192,1972,2004,99,725,725,754,4,1,1,1,7,2,484,1,184000
193,1999,1999,871,1431,1431,0,3,1,2,0,6,2,666,3,192000
194,2004,2004,970,970,970,739,3,1,2,0,7,2,380,5,130000
195,1972,1972,474,864,864,0,3,1,1,0,5,1,352,4,127000
196,1976,1976,289,855,855,601,3,1,2,1,7,2,440,4,148500
197,2007,2007,600,1726,1726,0,3,1,2,0,8,3,786,6,311872
198,1918,1990,140,1360,1360,1360,4,1,2,0,8,2,795,1,235000
199,1912,1950,755,755,929,929,5,1,1,0,8,0,0,1,104000
200,2004,2005,625,1713,1713,0,3,1,2,0,7,3,856,4,274900
201,2003,2004,1121,1121,1121,0,2,1,2,0,5,2,440,4,140000
202,1977,1977,276,1196,1279,0,3,1,2,0,6,2,473,6,171500
203,1924,1950,0,617,865,445,2,1,2,0,6,1,398,0,112000
204,2004,2004,186,848,848,0,1,1,1,0,3,2,420,5,149000
205,1947,1950,408,720,720,564,2,1,1,1,5,1,240,3,110000
206,1990,1990,1424,1424,1442,0,3,1,2,0,5,2,500,1,180500
207,1962,1962,1140,1140,1696,0,3,1,1,1,8,1,349,3,143900
208,1960,1960,375,1100,1100,0,3,1,1,0,6,1,312,5,141000
209,1988,1989,92,1157,1180,882,3,1,2,1,7,2,454,3,277000
210,1964,1964,305,1092,1092,0,3,1,1,0,6,2,504,4,145000
211,1925,1950,396,864,864,0,2,1,1,0,5,0,0,2,98000
212,2009,2009,1176,1212,1212,0,3,1,2,0,6,2,460,0,186000
213,2009,2009,78,900,932,920,3,1,2,1,7,2,644,5,252678
214,1995,1995,274,990,990,0,3,1,1,0,5,2,576,4,156000
215,1977,1977,311,689,689,703,3,1,1,1,6,1,299,6,161750
216,1957,1996,710,1070,1236,0,2,1,1,0,6,1,447,1,134450
217,2004,2004,490,1436,1436,0,3,1,2,0,8,2,484,5,210000
218,1925,1950,686,686,810,518,3,1,1,0,8,1,210,2,107000
219,1939,2006,457,798,1137,817,3,1,1,1,8,2,431,5,311500
220,2005,2006,1232,1248,1248,0,2,1,2,0,5,2,438,6,167240
221,2006,2006,1498,1498,1498,0,2,1,2,0,5,2,675,2,204900
222,2002,2002,1010,1010,1010,1257,4,1,2,1,8,2,390,1,200000
223,1975,1975,163,713,811,741,3,1,2,1,6,2,434,5,179900
224,1971,1971,160,864,864,0,2,1,1,0,4,2,576,4,97000
225,2003,2003,2336,2392,2392,0,3,1,2,0,8,3,968,6,386250
226,1971,1971,630,630,630,672,3,1,2,1,6,1,280,6,112000
227,1995,1995,638,1203,1214,1306,4,1,2,1,9,3,721,2,290000
228,1970,1970,162,483,483,504,2,1,1,1,5,1,280,2,106000
229,1967,1967,70,912,912,0,3,1,1,0,5,1,336,1,125000
230,2005,2006,1357,1373,1555,0,2,1,2,0,7,2,430,0,192500
231,1959,1959,1194,1194,1194,0,3,1,1,0,6,1,312,3,148000
232,1995,1996,773,1462,1490,1304,4,1,2,1,9,3,810,6,403000
233,1972,1972,483,483,483,504,2,1,1,1,5,1,288,2,2094500
234,1976,1976,0,894,894,0,3,1,1,0,5,1,308,0,128200
235,2002,2002,235,860,860,1100,4,1,2,1,8,2,440,2,216500
236,1971,1971,125,483,483,504,2,1,1,1,5,1,264,6,89500
237,2004,2004,1390,1414,1414,0,3,1,2,0,6,2,494,3,185500
238,1993,2003,594,996,1014,730,3,1,2,1,7,2,457,0,194500
239,2007,2007,1694,1694,1694,0,3,1,2,0,7,3,818,2,318000
240,1945,1950,641,735,798,689,3,1,1,1,7,1,220,3,113000
241,2008,2008,488,1566,1566,0,3,1,2,0,7,2,750,2,262500
242,1945,1997,357,686,866,0,2,1,1,0,4,0,0,5,110500
243,1900,1950,540,540,889,551,3,1,1,0,6,1,352,1,79000
244,1980,1980,626,626,626,591,3,1,1,1,6,1,288,5,120000
245,1994,2002,253,948,1222,888,3,1,2,1,8,2,463,0,205000
246,1988,1988,916,1845,1872,0,3,1,2,0,6,2,604,3,241500
247,1910,1950,1020,1020,908,1020,4,2,2,0,9,1,440,1,137000
248,1954,1954,1367,1367,1375,0,2,1,1,0,5,2,451,6,140000
249,2003,2003,840,840,840,828,3,1,2,1,8,2,500,5,180000
250,1958,2006,747,1444,1444,700,4,1,2,0,7,2,389,1,277000
251,1940,1966,728,728,1306,0,3,1,1,0,6,0,0,3,76500
252,2006,2007,0,1573,1625,0,2,1,2,0,5,2,538,3,235000
253,2004,2004,798,798,798,842,3,1,2,1,6,2,520,1,173000
254,1964,1991,452,1302,1302,0,3,1,2,0,7,1,309,5,158000
255,1957,1957,392,1314,1314,0,3,1,1,0,5,1,294,5,145000
256,1999,1999,975,975,1005,1286,4,1,2,1,8,2,429,2,230000
257,2003,2003,361,864,864,864,3,1,2,1,7,2,673,5,207500
258,2006,2006,270,1604,1604,0,3,1,2,1,8,2,660,5,220000
259,2001,2001,602,963,963,829,3,1,2,1,7,2,564,3,231500
260,1956,1956,0,0,882,0,2,1,1,0,4,1,308,4,97000
261,1962,1962,0,1362,1382,0,3,1,1,0,6,2,884,4,176000
262,2007,2007,1482,1482,1482,1092,3,1,2,1,10,3,868,0,276000
263,1977,1995,0,506,1212,0,3,1,1,0,6,2,492,3,151000
264,1929,2001,0,926,926,0,3,1,1,0,6,2,484,0,130000
265,1925,2004,680,680,764,0,2,1,1,0,4,2,504,0,73000
266,1981,1981,606,1422,1422,0,3,1,2,0,7,2,576,2,175500
267,1997,1997,88,802,802,709,3,1,2,1,8,2,413,6,185000
268,1939,1997,342,720,1052,720,4,1,2,1,8,1,240,2,179500
269,1940,1955,212,740,778,0,2,1,1,0,4,1,924,0,120500
270,1976,1976,392,1143,1113,0,3,1,1,1,6,1,504,3,148000
271,2006,2006,1095,1095,1095,844,3,1,2,1,8,3,1053,0,266000
272,1954,2005,96,1385,1363,0,2,1,1,0,5,2,439,4,241500
273,1999,2007,628,1152,1164,1106,4,1,2,1,9,3,671,2,290000
274,1958,1988,0,1240,1632,0,3,1,2,0,6,1,338,1,139000
275,1982,1982,270,816,816,0,2,1,1,0,5,1,264,3,124500
276,1925,2007,952,952,952,596,3,1,2,1,5,2,672,0,205000
277,2003,2003,1560,1560,1560,0,3,1,2,0,7,2,573,0,201000
278,1951,1951,744,864,864,0,2,1,1,0,4,2,400,2,141000
279,2006,2007,2121,2121,2121,0,3,1,2,1,8,3,732,6,415298
280,1977,1977,768,1160,1156,866,4,1,2,1,8,2,505,0,192000
281,1989,1989,386,807,1175,807,3,1,2,1,7,2,575,5,228500
282,2006,2006,357,1262,1262,0,2,1,2,0,5,2,572,1,185000
283,2007,2008,410,1314,1314,0,2,1,2,0,6,2,626,4,207500
284,2008,2009,1468,1468,1468,0,3,1,2,0,6,3,898,2,244600
285,1992,1992,1145,1575,1575,0,2,1,2,0,5,2,529,4,179200
286,2006,2007,625,625,625,625,2,1,2,1,5,2,528,6,164700
287,1962,1981,312,912,1085,649,3,1,1,1,7,2,440,3,159000
288,1971,1971,244,858,858,0,3,1,1,0,5,0,0,0,88000
289,1967,1967,432,882,900,0,3,1,1,0,5,1,280,0,122000
290,1915,2003,698,698,698,698,3,1,1,0,7,1,384,3,153575
291,2006,2006,1079,1079,1079,840,3,1,2,1,8,2,685,6,233230
292,1912,2000,570,780,936,780,6,1,2,0,9,0,0,0,135900
293,1949,2008,476,768,1148,568,3,1,1,1,8,1,281,6,131000
294,1977,1994,0,795,1468,795,3,1,2,1,9,2,539,2,235000
295,1953,1953,131,1416,1644,0,3,1,1,0,7,2,418,3,167000
296,1984,1984,184,1003,1003,0,3,1,1,0,6,2,588,5,142500
297,1950,1950,490,910,910,648,4,1,1,1,6,1,282,1,152000
298,1997,1998,326,975,975,975,3,1,2,1,7,2,576,0,239000
299,1968,1968,143,702,1041,702,3,1,1,2,7,2,539,3,175000
300,1950,2004,1092,1092,1152,0,3,1,1,0,6,1,300,1,158500
301,1953,1953,324,1165,1336,0,2,1,1,0,5,1,375,5,157000
302,1998,1999,747,1028,1210,1242,4,1,2,1,9,2,683,6,267000
303,2001,2002,1541,1541,1541,0,3,1,2,0,6,3,843,6,205000
304,1972,1972,0,894,894,0,3,1,1,0,5,2,552,6,149900
305,1880,2002,1470,1470,1675,1818,3,1,3,0,10,3,870,5,295000
306,2004,2005,536,2000,2000,0,3,1,2,0,8,3,888,3,305900
307,1990,1991,0,700,1122,1121,4,1,2,1,8,3,746,0,225000
308,1920,1950,319,319,1035,371,3,1,1,0,6,0,0,6,89500
309,1940,1950,599,861,861,0,1,1,1,0,4,2,539,0,82500
310,2003,2004,622,1896,1944,0,3,1,2,0,8,3,708,4,360000
311,1993,1994,179,697,697,804,3,1,2,1,6,2,420,4,165600
312,1948,2002,292,972,972,0,2,1,1,0,5,1,240,0,132000
313,1939,1950,286,793,793,325,3,1,1,0,5,2,410,3,119900
314,1965,1965,80,2136,2036,0,3,1,2,0,8,2,513,5,375000
315,1925,1990,712,728,832,809,3,1,1,1,6,2,546,1,178000
316,2004,2005,291,716,716,716,3,1,2,1,6,2,432,3,188500
317,1980,1980,153,845,1153,1200,4,1,2,1,10,2,484,0,260000
318,2006,2006,1088,1088,1088,871,3,1,2,1,8,3,1025,6,270000
319,1993,1993,360,1347,1372,1274,4,1,2,1,9,3,656,0,260000
320,1980,1980,336,1372,1472,0,3,1,2,0,6,2,588,1,187500
321,2006,2006,1249,1249,1249,1347,4,1,3,1,9,3,840,0,342643
322,2004,2004,166,1136,1136,1332,4,1,2,1,10,3,872,6,354000
323,1986,1987,0,1502,1553,1177,4,1,2,1,8,2,576,6,301000
324,1955,2005,906,1162,1163,0,3,1,1,0,6,1,220,1,126175
325,1967,2007,710,710,1898,1080,5,1,2,1,11,2,564,5,242000
326,1941,1950,604,720,803,0,2,1,1,0,5,2,360,2,87000
327,1993,1993,100,1719,1719,0,1,1,1,1,6,2,473,1,324000
328,1960,1960,818,1383,1383,0,3,1,1,1,7,1,292,4,145250
329,1916,1994,844,844,1445,689,5,1,2,0,10,2,441,4,214500
330,1920,1950,596,596,596,596,3,1,1,0,6,1,189,3,78000
331,1964,1964,1424,1728,1728,0,6,2,2,0,10,1,352,5,119000
332,1958,1992,210,1056,1056,0,3,1,1,0,6,1,308,0,139000
333,2003,2004,1603,3206,1629,0,3,1,2,0,7,3,880,1,284000
334,2004,2004,638,1358,1358,0,2,1,2,0,6,2,484,4,207000
335,1998,1998,115,943,943,695,3,1,2,1,7,2,472,3,192000
336,1965,1965,103,1499,1619,167,3,1,2,0,7,2,529,2,228950
337,2005,2006,673,1922,1922,0,3,1,2,0,8,3,676,2,377426
338,2002,2003,726,1536,1536,0,3,1,2,0,7,2,532,4,214000
339,1984,1998,995,1208,1621,0,3,1,2,0,8,2,440,1,202500
340,1958,1998,630,1215,1215,0,3,1,1,0,6,1,297,5,155000
341,2002,2002,967,967,993,915,4,1,2,1,9,2,431,2,202900
342,1950,1950,721,721,841,0,2,1,1,0,4,1,294,5,82000
343,1949,1950,0,0,1040,0,2,2,2,0,6,2,400,0,87500
344,2005,2005,1656,1684,1684,0,2,1,2,0,6,2,564,6,266000
345,1976,1976,175,536,536,576,3,1,1,1,4,1,336,5,85000
346,1939,1950,972,972,972,605,3,1,1,0,6,1,312,0,140200
347,1960,1998,460,958,958,0,2,1,1,0,5,1,301,6,151500
348,1960,1960,208,1478,1478,0,3,1,2,0,6,2,498,2,157500
349,2003,2004,191,764,764,862,2,1,2,1,6,2,474,6,154000
350,2005,2006,438,1848,1848,880,4,1,2,1,10,3,706,5,437154
351,2007,2007,1869,1869,1869,0,2,1,2,0,6,2,617,1,318061
352,1986,1986,371,1453,1453,0,2,1,1,1,6,2,445,4,190000
353,1941,1950,0,616,616,495,3,1,1,0,5,1,200,6,95000
354,1928,2003,624,624,720,0,2,1,1,0,5,2,484,1,105900
355,1940,2000,552,940,1192,403,2,1,1,0,6,1,240,6,140000
356,1995,1995,322,1200,1200,0,3,1,2,0,6,2,521,0,177500
357,1992,1992,598,1158,1167,0,3,1,2,0,6,2,400,2,173000
358,1976,1976,268,1142,1142,0,3,1,1,1,6,2,528,6,134000
359,1958,1958,468,1062,1352,0,3,1,1,0,6,1,288,3,130000
360,1998,1998,130,1086,1086,838,3,1,2,1,7,2,592,5,280000
361,1978,1978,115,888,912,0,2,1,1,0,5,2,470,5,156000
362,1940,1982,484,883,988,517,3,1,1,0,8,1,240,0,145000
363,2003,2003,0,0,495,1427,4,1,3,0,7,2,672,5,198500
364,1972,2007,321,483,483,504,2,1,1,1,5,1,264,6,118000
365,1976,1976,84,796,790,784,3,1,2,1,6,2,566,6,190000
366,1920,1997,216,672,672,672,3,1,1,0,6,1,468,0,147000
367,1963,1963,785,1394,1394,0,3,1,1,1,6,2,514,3,159000
368,1962,1962,728,1099,1431,0,3,1,1,0,6,1,296,5,165000
369,1954,1954,728,1268,1268,0,2,1,1,0,7,1,244,4,132000
370,1959,2006,733,1063,1287,0,3,1,1,0,7,2,576,1,162000
371,2000,2000,953,953,953,711,3,1,2,1,7,2,460,0,172400
372,1959,1959,0,0,1120,468,4,1,2,0,7,2,680,3,134432
373,1984,1984,0,744,752,0,2,1,1,0,4,1,264,0,125000
374,1953,1953,0,608,1319,0,3,1,1,0,5,1,270,5,123000
375,2003,2004,847,847,847,1081,4,1,2,1,8,2,434,2,219500
376,1922,1950,333,683,904,0,1,1,0,1,4,0,0,5,61000
377,1996,1996,572,870,914,0,2,1,1,0,5,2,576,5,148000
